id,content,visible
70,"Unsecured borrowed funds have been listed as a source of down payment. The only unsecured borrowed funds permitted are loans from an employer-assisted housing program. If the unsecured borrowed funds are not in the form of a loan from an employer-assisted housing program, the loan is ineligible.",True
71,This case is ineligible because sweat equity is listed as a source of funds for closing.  This is only an eligible source of funds for the down payment and/or closing costs for Community Lending loans.,True
72,"Trade equity is listed as a source of funds for closing.  The property seller may take a borrower's existing property in trade as part of the down payment, as long as the borrower has made the minimum required cash down payment and his or her equity contribution is a true-value consideration.  An appraisal for the property that is being taken in trade is required.",True
73,This case is ineligible because cash-on-hand is listed as a source of funds for closing.  This is an ineligible source of funds for the down payment and for closing costs.,True
79,"The market value of an automobile or other asset has not been included in the amount of available funds.  If the funds from this asset are needed to support the closing costs and/or reserves requirement, document the value and ownership of the asset and verify the receipt of the funds prior to closing.  Include the amount of the asset in another liquid asset account.",True
81,"A trust fund was included in available funds.  For loan casefiles that are not underwritten as DU Refi Plus, the loan file must contain verification documents according to the Fannie Mae Selling Guide.  For DU Refi Plus loan casefiles, the trust fund must be verified with one recent statement showing the asset balance.",True
83,A retirement account is listed as a source of funds and no corresponding asset could be found. Enter the value of this asset discounted as required per the Selling Guide if the funds will be used for reserves.,True
84,"The value entered for the retirement account must be determined in accordance with the Selling Guide if the funds will be used for reserves. If these assets are needed to support the amount of funds required for closing and reserves, the available account balance must be documented with a recent depository or brokerage account statement. For loan casefiles that are not underwritten as DU Refi Plus, if the funds will be used for down payment or closing costs, receipt of the funds realized from the sale or liquidation of the assets is not required if the value (as determined in accordance with the Selling Guide) is at least 20% more than the amount of funds needed for the down payment and closing costs. Otherwise, receipt of funds realized from the sale or liquidation must be verified. Also for loan casefiles that are not underwritten as DU Refi Plus, if the account allows for withdrawals only in connection with the borrower's employment termination, retirement, or death; or the account does not allow for any type of withdrawal, the retirement asset should not be entered.",True
88,"A secured loan is included in available funds. Documents that verify the terms of the loan and the fact that it is secured must be included in the loan file. Monthly payments for the loan must be considered in the debt-to-income ratio unless the loan is secured by a financial asset. If the loan is secured by a financial asset, the asset must be reduced by the amount of the loan.",True
90,"Rental payments that exceed the market rent are listed as a source of funds for closing. Enter a corresponding Other Credit in the Details of Transaction. Obtain a copy of the rental/purchase agreement, canceled checks or money order receipts to document the rental payment for the last 12 months, and evidence of market rent must be provided by the appraiser.",True
91,"When fully vested stock or bond account(s) are needed to support the amount of funds required for reserves, the value entered may be 100 percent of the value of the account. Document the value with a current brokerage account statement or a copy of the stock certificate accompanied by a dated newspaper stock list. When fully vested stock and bond accounts are used for the down payment or closing costs, if the value is at least 20% more than the amount of funds needed, documentation of the borrower's receipt of funds from the sale or liquidation of those assets is not required. Otherwise, document the borrower's receipt of funds from the sale of those assets. Non-vested stock options and non-vested restricted stock are not acceptable sources of funds for the down payment, closing costs, or reserves.",True
92,"Stocks or bonds are listed as a source of funds for closing and there is no corresponding asset.  The value of fully vested stocks and bonds may be entered as 100 percent of the estimated liquidation value (or redemption value) of the account if the funds will be used as reserves. ",True
93,Lease purchase funds for rent credits were entered as an Other Credit and were included in available funds.  The loan file must contain verification documents according to the Fannie Mae Selling Guide.,True
95,"A bridge loan was included in available funds.  Provide copies of the bridge loan documents in the loan file.  The bridge loan must be listed in the liabilities section of the 1003, and a monthly payment must be included in the debt-to-income ratio.  Refer to the Selling Guide for additional information.",True
96,"A bridge loan is listed as a source of funds for closing and there is no corresponding asset.  Provide copies of the bridge loan documents in the loan file.  The bridge loan must be listed in the liabilities section of the 1003, and a monthly payment must be included in the debt-to-income ratio.  Refer to the Selling Guide for additional information.",True
99,"All net equity funds should be verified with a photocopy of the settlement statement. If the net equity is negative, the amount will be subtracted from the borrower's available funds.",True
101,The Real Estate section of the application lists real estate that has been sold. Document the sale of the property by providing a copy of the settlement statement. The net equity from the sale of the property should be included in a liquid asset account.,True
106,A checking or savings account is listed as a source of funds for closing and there is no corresponding asset.  To verify this asset use the most recent bank statements covering a %a month period.,True
107,"Funds in the amount of $%a are required for closing.  Available funds are insufficient by $%a.   Assets sufficient to close the loan must be from eligible sources, and must be qualified and verified.",True
108,"Liabilities that have been marked ""paid by close"" in the application have not been added to required funds. For cash-out refinance transactions, all debts to be paid off using proceeds from the transaction must be included in Section VII, Details of Transaction - line D. Verify and document the funds needed to pay off accounts marked ""paid by close.""",True
109,"The balance of each of the following liabilities to be paid by closing has been added to required funds.
Borrower|Creditor|Account Number|Balance",True
119,"Desktop Underwriter does not include cash back received from the transaction in the borrower's cash reserves calculation.  Therefore, the amount of cash back, $%a, has not been included in cash reserves.",False
128,The taxes and insurance payment from the retained REO has been added to the total expense payment used in the debt-to-income ratio.,False
140,Desktop Underwriter was unable to calculate the housing and debt-to-income ratios because qualified income is 0.,True
152,"%a's self-employed income must be supported by personal tax returns covering the most recent year, with all schedules.",True
153,"The following sources of income were used in the underwriting analysis:
Borrower|Income Type|Amount",False
162,"Document %a's income using a paystub and a W-2 from the prior year, or using a standard Verification of Employment (1005).  The paystub must be dated no earlier than 30 days prior to the initial loan application date, include all year-to-date earnings, and include sufficient information to appropriately calculate income.  Otherwise, additional documentation must be obtained.  If a W-2 is not available from the prior year, the lender must determine if the income would still be acceptable per the Selling Guide.  If a standard Verification of Employment (1005) will be obtained it must include all year-to-date earnings as well as prior year earnings if a W-2 is not being provided.  Direct verifications provided by a third party employment verification vendor are acceptable if completed in accordance with the Selling Guide.",True
164,%a's income must be supported by one paystub or by a standard Verification of Employment (1005). The paystub must be dated no earlier than 30 days prior to the initial loan application date and it must include all year-to-date earnings. Commission income may be supported by one paystub or federal tax returns covering the most recent year. Direct verifications provided by a third party employment verification vendor are acceptable if completed in accordance with the Selling Guide.,True
166,Verify other income for %a in accordance with the Selling Guide.,True
169,%a's military income must be supported by either a Leave and Earnings Statement or by a Standard Verification of Employment (1005). Verify that this income was not also included in base income.,True
171,"Foster care income for %a was used in the underwriting analysis. Document the income in accordance with the Fannie Mae Selling Guide.  The borrower must have a minimum twelve-month history of providing foster care services under a recognized program. If the income has been received for less than 24 months, it cannot represent more than 30% of the total gross income used to qualify the borrower.",True
174,Income from automobile allowances is determined using the income and debt approach (add full amount of allowance to income and full amount of automobile lease or financing payment to liabilities). The borrower must have been receiving the income for at least two years.,True
176,"Verify the net rental income or loss from any properties (that are not the subject property) with either the borrower's most recent federal income tax return (Pages 1, 2 and Schedule E), or a copy of the current lease agreement. Additionally rental income is not permitted on second homes. No documentation is required for qualifying purposes if the debt-to-income ratio already includes the entire rental property payment (i.e., income from the property is not considered). Refer to the Selling Guide for additional information on rental history, documentation requirements, and the calculation and treatment of rental income.",True
177,"Unemployment and/or public assistance benefits for %a were used from the application.  Unemployment compensation cannot be used to qualify the borrower unless it is clearly associated with seasonal employment that is reported on the borrower's federal income tax returns and verification that the seasonal income is likely to continue.  Unemployment income must be verified with copies of the borrower's tax returns for the past two years.  Public assistance benefits must be verified with letters or exhibits from the paying agency that evidence the amount, frequency, and duration of the benefit.",True
179,"VA benefit income for %a must be verified with a VA letter or distribution form.  If this income is not from retirement or long term disability, it cannot be used for qualifying unless it will continue for at least three years (not applicable to DU Refi Plus loan casefiles).  Education benefits may not be used for qualifying purposes.",True
181,"The amount, frequency, and duration of the trust income for %a must be verified by the Trust Agreement or by the trustee's statement confirming the amount, frequency, and duration of payments.  This income cannot be used for qualifying unless it will continue for at least three years.",True
183,The amount and duration of mortgage differential income for %a must be verified in writing by the borrower's employer.  The income cannot be used for qualifying unless it will continue for at least three years.,True
185,"Interest and dividend income for %a must be verified by 2 years tax returns and all supporting schedules, or account statements. It must have been received for the past two years and the asset generating the income must be verified. Any funds used for the down payment or closing costs must be subtracted before the interest and dividends are calculated.  Documentation of asset ownership must be in compliance with the Age of Documents Policy per the Selling Guide.",True
187,Income from notes receivable for %a must be verified with (1) a copy of the note and (2) evidence of these funds.  Verify that the income has been received for the most recent 12 months and will continue for at least three years.,True
189,"Alimony or child support must be verified with one of the following documents: divorce decree, separation agreement, court decree, any other legal agreement that describes the payment terms, or any applicable state law that requires such payments and specifies the conditions under which the payments must be made.  For loan casefiles that are not underwritten as DU Refi Plus, the borrower must have a minimum 6-month documented history of the borrower's most recent regular and timely receipt of the full payment, and the lender must verify the income will continue for at least three years.  Refer to the Fannie Mae Selling Guide for additional information.",True
191,"If the Social Security income for %a is classified as retirement or disability income from the borrower's own Social Security Account, obtain either proof of current receipt, or the Social Security Administration's (SSA) award letter.  If the Social Security income is for Survivor Benefits, retirement, or disability for the benefit of another, verify  the income with all of the  following documents:  a copy of the SSA award letter, proof of current receipt, and any additional documentation required to confirm a three-year continuance.  Supplemental Security Income must be verified with a copy of the SSA award letter and proof of current receipt.  Refer to the Selling Guide for additional information.",True
193,"Document regular and continued receipt of retirement, government annuity, or pension income for %a with one of the following documents:  letters from the organization providing the income, retirement award letters, federal tax returns, IRS W-2 or 1099 forms, or bank statement. Documentation of three-year continuance is not required. For loan casefiles that are not underwritten as DU Refi Plus, if retirement income is paid in the form of a monthly distribution from a 401(k), IRA, SEP or Keogh retirement account, document three year continuance of income from the date of the mortgage application.  Documentation of asset ownership must be in compliance with the Allowable Age of Documents policy.",True
225,"Include evidence of payoff of the following debts (other than 30 day accounts) in the loan file:
Borrower|Creditor|Account Number|Balance",True
230,"Alimony, child support, or separate maintenance for %a has been listed as a liability on the application but the payment was not included in the debt-to-income ratio because the Months Left to Pay is ten months or less. Confirm the number of months remaining using the divorce decree, separation agreement, or any other written legal agreement.  If the payment will continue for more than ten months, update the information in the online loan application and resubmit the loan casefile to DU.",True
237,"According to the credit report, the total payments and balances declared on the 1003 differ by more than expected tolerances. Verify that all liabilities belonging to the borrowers are disclosed on the 1003 and that the balances and payments are accurate.",True
248,"The following accounts listed on the loan application were omitted from the underwriting calculations.  For each liability that belongs to the borrower, provide documentation that supports the omission.  If any of these accounts will be paid prior to or at closing, those accounts must be marked paid by closing (not omitted) and the loan casefile must be resubmitted to DU.
Borrower|Creditor|Account Number|Balance",True
252,"Desktop Underwriter has calculated minimum monthly payments, which are used in the debt-to-income ratio, for the following accounts. If the account(s) should not be included in the debt-to-income ratio, omit the liabilities on the loan application and document the reason for the omission.
Borrower|Creditor|Payment|Balance",True
253,"Undisclosed debt has been identified on the credit report.  These debts have not been included in the CLTV or the qualifying debt-to-income ratio.  For each undisclosed debt, provide documentation or explanation that confirms that it should not be included on the 1003 or include the debt on the 1003 and resubmit the case for underwriting. 
Borrower|Creditor|Payment|Balance",True
258,"The past-due amount of the following accounts must be satisfied prior to or at closing, and funds sufficient to settle these items must be verified and documented. If any of these accounts are actually a collection or charge-off, the lender may follow the DU collection and charge-off policy specified in the Selling Guide.
Borrower|Creditor|Account Number|Amount",True
260,"If the following collection and chargeoff accounts have not been satisfied, all accounts with a balance of $250 or more must be paid in full prior to or at closing.  If the aggregate of all accounts is greater than $1,000, all accounts must be paid in full prior to or at closing.  Funds sufficient to settle the account(s) must be verified and documented.  Refer to the Fannie Mae Selling Guide for additional information.
Borrower|Creditor|Account Number|Amount",True
268,A lawsuit was indicated on Section VIII of the loan application. Determine if the lawsuit will have any impact on the borrower's ability to repay the loan.,True
271,A judgment declared on Section VIII of the loan application was not found on the credit report. Outstanding judgments must be paid in full prior to or at closing and funds sufficient to settle these items must be verified and documented.,True
272,"Alimony, child support, or separate maintenance was declared on Section VIII of the loan application, but a corresponding liability was not listed on Section VIL of the loan application. Payments of a continuing nature must be included as a liability on the loan application.  Enter this information and resubmit the loan casefile for underwriting.   For alimony liabilities, the lender has the option of either entering the alimony as a liability, or reducing total qualifying income by the amount of the alimony payment.",True
273,"The use of borrowed funds for the down payment was declared on Section VIII of the loan application, and there is no corresponding asset listed for that borrower. The terms of the loan and the fact that it is secured must be verified. Monthly payments for the loan must be considered as debt for qualifying the borrower.",True
274,Endorsement of a note was declared on Section VIII of the loan application.  The contingent liability does not need to be considered as part of the borrower's monthly debt obligations if the lender can verify a history of documented payments on the debt by the primary obligor and ascertain that there is not a history of delinquent payments for that debt.,True
275,"Evidence of the existence of a typhoon endorsement must be included in the loan file.  In addition, if the construction type of the subject property is masonry construction, evidence of the existence of earthquake insurance must also be included in the loan file.",True
276,Evidence of the existence of earthquake insurance must be included in the loan file.,True
277,Verify that the terms of the leasehold estate comply with the requirements of the Fannie Mae Selling Guide.  The property must be in an area where the use of leasehold estates have received market acceptance.,True
278,"This loan is subject to all lender specified conditions and must comply with all applicable federal, state, and local laws and regulations.",False
280,"If the buydown is funded by an interested party to the transaction, then the amount of the buydown must be added to total contributions and subject to Fannie Mae's contribution limits.",True
292,This case is only eligible for delivery to Fannie Mae if the lender is approved in its Master Agreement to deliver conventional mortgages for properties located in Guam.  The lender must ensure that the loan complies with the eligibility criteria in its Master Agreement.,True
303,This case is ineligible because the case qualified income of $%a exceeds the Community Lending Income Limit of $%a per annum.,True
304,This loan casefile is ineligible because the CLTV cannot exceed 105 percent when the subordinate financing is a Community Seconds loan.,True
308,Verify and warrant that the terms of the Community Seconds Loan meet the guidelines as outlined in the Fannie Mae Selling Guide. Document the loan casefile accordingly.,True
309,The Community Seconds Indicator is not consistent with the subordinate financing amount being processed by Desktop Underwriter for this case. Correct the data and resubmit the case.,True
312,This loan casefile  is ineligible because cash-out refinance transactions are not allowed on Community Lending loans.,True
313,This loan casefile is ineligible because only principal residence transactions are permitted on a HomeReady loan.,True
333,This case is ineligible for delivery to Fannie Mae because a valid Fannie Mae ARM plan has not been specified.,True
334,This case is ineligible because buydowns are not permitted on investment mortgages.,True
341,This case is ineligible because the interest rate on adjustable rate mortgages with the selected ARM plan cannot be bought-down.,True
344,"This loan casefile is ineligible because the ARM margin must be less than or equal to 300 basis points, or 250 basis points for ARM plan 3252.",True
345,This case is ineligible because the start rate is more than 300 basis points below the fully indexed rate.,True
356,This case is ineligible because the adjustable rate mortgage plan that has been selected for this loan cannot be originated in conjunction with a home improvement investment property.,True
385,Verify that %a is a legal resident of the United States.,True
387,Verify that all non-US citizen borrowers are legally present in the United States.,True
393,This case is ineligible because mortgages secured by a second home are limited to one-unit properties.,True
402,Verify the terms of the subordinate financing for compliance with the Selling Guide.,True
415,"Based on the data entered, the total amount of interested party contributions appears to exceed the maximum allowable contributions for this investment property. In order for the loan to be eligible for delivery, the lender must ensure that all interested party contribution requirements outlined in the Selling Guide have been met.  This may include adjustments to the LTV/CLTV to reflect the interested party contribution amount that exceeds the maximum allowable contributions as stated in the Selling Guide.  This adjustment may cause the loan to exceed the maximum allowed LTV or CLTV, requiring the loan amount to also be reduced.",True
417,"Based on the data entered, the total amount of interested party contributions appears to exceed the maximum allowable contributions of %a percent for this CLTV. In order for the loan to be eligible for delivery, the lender must ensure that all interested party contribution requirements outlined in the Selling Guide have been met.  This may include adjustments to the LTV/CLTV to reflect the interested party contribution amount that exceeds the maximum allowable contributions as stated in the Selling Guide.  This adjustment may cause the loan to exceed the maximum allowed LTV or CLTV, requiring the loan amount to also be reduced.",True
419,"If the loan casefile has not already closed, the following documents have expired.  While the document values have been used in the underwriting analysis, obtain more recent documents and resubmit the loan casefile to DU. All credit documents must be no more than four months old on the note date. For guidelines on the age of the appraisal or property inspection report, refer to the Fannie Mae Selling Guide.
Borrower|Document Type|Document Date",True
420,"Based on the credit report obtained through DU, this loan casefile must close on or before %a.  All credit documents must be no more than four months old on the note date. Refer to the Selling Guide for guidelines on the age of the appraisal or property inspection report.",True
421,"This case is ineligible because the following documents have expired.  While the document values have been used in the underwriting analysis, obtain more recent documents for the loan file and resubmit the case for underwriting.
Borrower|Document Type|Document Date",True
435,This case is ineligible because mortgage insurance may not be financed on cash-out refinances.,True
436,This case is ineligible because the occupancy status must be owner-occupied principal residence or second home when mortgage insurance is financed.,True
441,This loan casefile is ineligible because the loan amount of $%a exceeds the Fannie Mae limit of $%a for %a units for the state in which the property is located.,True
442,"The subject property indicator on the liabilities section, or the real estate owned section of the application indicate that there is already a mortgage on the subject property for this purchase transaction.  The mortgage balance has been added to the total subordinate financing amount.",True
448,This case is out of scope because the purpose of loan indicated on the application is 'other'.,True
450,Properties that consist of more than four units are out of scope for this release of Desktop Underwriter.,True
451,Only fixed-rate and adjustable-rate mortgages are in scope for this release of Desktop Underwriter.,True
452,Only conventional mortgages are in scope for this release of Desktop Underwriter.  Loan types of USDA/RHS and Other are out of scope for this release of Desktop Underwriter.,True
453,Only first mortgages are in scope for this release of Desktop Underwriter.,True
632,"An asset described as Net Worth of Business Owned has been listed on the application, however, no borrower has been listed as self-employed.",True
633,"This case was processed and determined to be ineligible as a limited cash-out refinance in accordance with the input data.  However, it has also been determined that it may be eligible as a cash-out refinance.  If this is the desired purpose of refinance, modify the application and resubmit the case for underwriting.",True
651,"If there is an existing rental agreement or lease on the subject property, review the lease to verify that it does not contain any provisions that could affect Fannie Mae's first lien position on the property, and determine if it is subordinated to the new first mortgage.  Ensure that any tenant's rights to the property have been formally waived by the tenants if the lease will not be subordinate to the new mortgage.",True
665,"This property is located in a condominium project. Conduct a review of the project utilizing the Lender Full Review process, either manually or with Condo Project Manager (CPM). Ensure that the project meets the underwriting requirements of the applicable project classification as defined in the Selling Guide. If the property is a detached condo, or is in a condo project consisting of only 2 to 4 units, a project review is not required. Determine if the property is located in a state in which specific project review type guidelines apply and confirm the loan casefile complies with those guidelines. If the condo project requires a Fannie Mae project approval through the Project Review Eligibility Service (PERS), confirm there is a valid Fannie Mae PERS approval when one is required. Refer to the Selling Guide for additional information.",True
668,"The following credit report debts have been identified as possible non-applicant debts. If the debts are on the 1003, DU included them in the back ratio. If they do not belong to the borrower, document the file, remove them from the 1003, and resubmit the case.
Borrower|Creditor|Account Number|Balance",True
669,"The following liabilities are listed on the credit report with a 'closed' account status; however, there is still an outstanding balance.  For each liability that is not already listed on the loan application, document that the account has been paid in full, or add the liability to the loan application and resubmit the case for underwriting.
Borrower|Creditor|Account Number|Balance",True
670,This case is ineligible because condominiums and cooperative share units are limited to one-unit properties.,True
673,"Net Cash Flow (NCF) for the subject property is $0.00, therefore the ratio calculations may be inaccurate. Enter the NCF and resubmit the case. If rental income is not used for qualifying on an investment property, enter the entire proposed payment as negative NCF and resubmit. On an owner-occupied property, entry of NCF is not necessary if the borrower qualifies without it.",True
674,"Net cash flow exists for this case and has been included in the ratio calculations. Because the subject property is a one-unit property that will be either the principal residence or secondary residence of the borrower, net cash flow from the property should not be included in the ratios. Remove this value from the case and resubmit the loan for underwriting.",True
675,"This property is located in a condominium project.  A limited review can be performed if the property is in an established project, and the property is not ineligible as defined in the Selling Guide.  If the property is not in an established condominium project ensure that the project meets the underwriting requirements of the applicable project classification as defined in the Selling Guide.  If the property is a detached condo, or is in a condo project consisting of only 2 to 4 units, a project review is not required.  Determine if the property is located in a state in which specific project review type guidelines apply and confirm the loan casefile complies with those guidelines.  Refer to the Selling Guide for additional information.",True
678,"Self-employment income from a second job is listed on the application for %a. The income must be supported by personal and business income tax returns covering the most recent two-year period, including all tax schedules, except in the case the borrower is being qualified using only income that is not derived from self-employment from his/her primary employment.  For guidance on borrowers that have been self-employed less than two years, or for any additional information on the verification of self-employment income, including what is needed to waive the requirement for business tax returns, refer to the Selling Guide.  For DU Refi Plus loan casefiles, the income must be supported by personal tax returns covering the most recent year, with all schedules.",True
679,"Income from a second job is listed on the application for %a. The income must either be supported by the most recent paystub and W-2s covering the most recent two-year period, or a fully completed standard Verification of Employment (1005).  Direct verifications provided by third party employment verification vendor are acceptable if completed in accordance with the Selling Guide. For DU Refi Plus loan casefiles, the income must be supported by one paystub.  Refer to the Selling Guide for guidance on borrowers with less than a two-year history of receiving income from a second job and additional information on the verification of second job income.",True
692,"An 'Other Liquid Asset' has been listed on the application. If the funds from this asset are needed to support the closing costs and/or reserves requirement:  document the value, document the ownership of the asset, and verify the receipt of the funds prior to closing. Refer to the Selling Guide for additional information.",True
693,The subject property was submitted as a manufactured home. Verify that the property is legally classified as real property and that it meets the manufactured home guidelines established in the Fannie Mae Selling Guide.,True
719,This loan casefile includes a non-occupant borrower.,True
720,This loan casefile is ineligible for sale to Fannie Mae due to inadequate reserves. A minimum of six months reserves is required for 2-to 4-unit primary residence transactions.  Funds must be verified from eligible sources.,True
721,"An asset described as Cash Deposit on Sales Contract in the amount of $%a was listed on the application in Section VI-Assets. Desktop Underwriter has not used this amount in its evaluation of borrower liquid assets available for closing costs and reserves. To be included, the amount should either be included in the balance of the deposit account from which it was drawn (if the check has not cleared), or it should be entered in Section VII-Details of Transaction under Other Credit if it has cleared.",True
728,"The following lien(s) are listed on the public records section of the credit report. If the liens have not already been satisfied, they must be paid  prior to or at closing and funds sufficient to settle the accounts must be verified. Refer to the Selling Guide to determine eligibility to include the payment due under a federal income tax installment agreement in the DTI instead of requiring payment in full.
Date Filed|Date Satisfied/Status Date��",True
729,"If the following judgments have not been satisfied, they must be paid in full prior to or at closing and funds sufficient to settle these items must be verified and documented.
Type|Date Filed|Date Satisfied/Status Date",True
740,Net rental income on the subject property should be entered in subject property net cash flow.  Enter a value for subject net cash flow in order for this income to be used in the qualifying ratios.,True
746,This loan has been identified as having a repayment type of %a.  Only fully amortizing mortgages are in scope for this release of Desktop Underwriter.,True
789,"The lender must determine whether Texas Constitution Section 50(a)(6) will apply to this refinance loan.  Fannie Mae's classification as a cash-out refinance cannot be relied upon for that determination.  Texas Section 50(a)(6) loans must be delivered to Fannie Mae using specific loan documents, and with additional warranties related to loan eligibility, origination, and servicing.  Refer to the Fannie Mae Selling Guide for more information.",True
819,The commission income for %a must be supported by one paystub or personal tax returns covering the most recent year. Direct verifications provided by a third party employment verification vendor are acceptable if completed in accordance with the Selling Guide.,True
824,"A Lender Credit has been entered in the Details of Transaction.  The lender must review the transaction as lender credits may not be used to fund any portion of the down payment.  If the lender credit is the result of premium pricing, or a lender funded contribution, the amount of the Lender Credit should not exceed the amount of borrower paid closing costs, discount points, and prepaids.  If the lender is affiliated with an interested party to the transaction, verify that the lender credits plus the seller contributions do not exceed the interested-party contribution limits specified in the Selling Guide.  If the lender credit plus the seller credits exceed the IPC limits, the property's sales price must be adjusted downward to reflect the amount of contribution that exceeds the maximum IPC; recalculate the LTV/CLTV ratios using the lower of the reduced sales price or the appraised value, and ensure LTV/CLTV complies with Selling Guide limits.",True
866,A Cash Deposit on Sales Contract was listed on the application in Section VIA - Assets and in Section VII - Details of Transaction. The two amounts differ.  Desktop Underwriter included the amount in Section VII in its evaluation of borrower liquid assets available for closing costs and reserves.,True
943,"This case was submitted to Desktop Underwriter version %a by %a.  The following information is associated with this loan:  Casefile ID is %a and Submission number is %a.  If the loan is delivered to Fannie Mae, the Casefile ID must be provided at delivery.",False
973,"Based on the data entered, the total amount of seller and lender credits exceed the total of the estimated closing costs, discount points, and prepaids.  The lender must review the transaction as seller and lender credits may not be used for down payment.",True
976,A miscellaneous other credit has been entered in Section VII of the loan application. Verify that the minimum borrower contribution is made for the transaction. Verify that contributions by others do not exceed the limits permitted in the Selling Guide. All credits applied in this section must be eligible and documented according to the requirements of the Selling Guide.,True
977,"Other credits have been entered in Section VII, line L of the loan application, but DU is unable to determine the type(s) of other credits entered. All credits applied in this section must be eligible and documented according to the requirements of the Selling Guide. Verify that the borrower has made the minimum required contribution, if applicable, and that contributions by others do not exceed the limits permitted in the Selling Guide.",True
981,"Employer-assisted housing and/or relocation funds are listed as a credit in the Section VII.  Document the terms of the assistance and receipt of the funds.  Verify that the assistance meets the requirements of the Selling Guide, including the borrower's minimum contribution requirement.  If the assistance is an unsecured loan that requires monthly payments, enter a corresponding debt in Section VI for inclusion in the debt-to-income ratio.",True
983,"Negative income was entered. If this is an input error, re-enter the correct income and resubmit the case to underwriting.",True
1022,This case is ineligible because gift funds are not permitted in conjunction with a mortgage that will be secured by an investment property.,True
1023,"The credit report contains a public record with an unknown type.  If it is a bankruptcy and has not been satisfied/discharged or if it was filed within four years of the disbursement date of the new loan, the loan casefile is not eligible for delivery.  If it is a foreclosure and has been reported within seven years of the disbursement date of the new loan, the loan casefile is not eligible for delivery.  If it is a lien or judgment, document that it has been satisfied.  If it has not been satisfied, it must be paid by closing and funds sufficient to settle the accounts must be verified.",True
1024,"There is no margin entered for this ARM loan. Verify that the ARM margin is less than or equal to 250 basis points for ARM plans 975, 1029, and 3252, or 300 basis points for all other ARM plans.",True
1025,There is no index value entered for this ARM loan. Verify that the note rate is within 300 basis points of the fully indexed rate.,True
